Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue,clean_owner,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,lender,proximity_cluster,rico_risk_tier
HAN LLC,,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,LEAVENWORTH,KS,7900.0,7952.45,05/01/2020,Paid in Full,Limited  Liability Company(LLC),722511,,2.0,Country Club Bank,,TIER_4_MONITOR
HAN LLC,,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HANLLC,HAN LLC,FREEPORT,ME,32900.0,33001.85,07/10/2020,Paid in Full,Limited  Liability Company(LLC),722513,,7.0,Bath Savings Institution,,TIER_4_MONITOR
GOODWILL LLC,,12838 PALM ST UNIT 2,411 KINGSTON CT,MT PROSPECT,930-174-57,"CHANG, MICHAEL T; CHANG, TSAI FEN L",06/28/2019,475000.0,GOODWILLLLC,GOODWILL LLC,BROOKFIELD,CT,8500.0,8552.68,04/28/2020,Paid in Full,Limited  Liability Company(LLC),445120,,2.0,Union Savings Bank,,TIER_4_MONITOR
GOODWILL LLC,,12838 PALM ST UNIT 2,411 KINGSTON CT,MT PROSPECT,930-174-57,"CHANG, MICHAEL T; CHANG, TSAI FEN L",06/28/2019,475000.0,GOODWILLLLC,GOODWILL LLC,Brookfield,CT,7900.0,7949.38,01/26/2021,Paid in Full,Limited  Liability Company(LLC),445120,,2.0,Union Savings Bank,,TIER_4_MONITOR
AGG PROPERTIES LLC,,12610 WESTMINSTER AVE # 2A,7070 PATTERSON DR,GARDEN GROVE,938-691-06,",",,,AGGPROPERTIESLLC,AGG PROPERTIES LLC,SAINT PETERSBURG,FL,19200.0,19398.93,05/16/2020,Paid in Full,Limited  Liability Company(LLC),531210,,1.0,Lake City Bank,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,LAS VEGAS,NV,34923.0,35225.35,04/15/2020,Paid in Full,Corporation,442210,,29.0,"Bank of America, National Association",,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,Las Vegas,NV,34922.0,35281.74,03/03/2021,Paid in Full,Corporation,444190,,4.0,"Bank of America, National Association",,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,Denver,CO,16882.0,16984.68,03/26/2021,Paid in Full,Limited  Liability Company(LLC),423990,,1.0,"Wells Fargo Bank, National Association",,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,Fairfax,VA,8206.0,,05/12/2021,Charged Off,Limited Liability Partnership,541910,,2.0,Customers Bank,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,"HB, LLC",WICHITA,KS,22500.0,22683.75,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,7.0,Community National Bank & Trust,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,Wichita,KS,30900.0,31046.78,01/30/2021,Paid in Full,Limited  Liability Company(LLC),721110,,8.0,Community National Bank & Trust,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,H & B LLC,CALMAR,IA,2300.0,2320.25,05/01/2020,Paid in Full,Limited  Liability Company(LLC),531120,,2.0,CUSB Bank,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,PROVIDENCE,RI,193170.0,195424.53,04/15/2020,Paid in Full,Limited  Liability Company(LLC),541310,,13.0,Webster Bank National Association,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,Long Beach,CA,146130.0,147152.91,02/11/2021,Paid in Full,Limited  Liability Company(LLC),721110,,18.0,East West Bank,,TIER_4_MONITOR
HB LLC,,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HBLLC,HB LLC,LONG BEACH,CA,105100.0,105794.83,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,22.0,East West Bank,,TIER_4_MONITOR
GFM INVESTMENTS LLC,,1119 FLORIDA ST,4825 MAGNA CARTA BLVD,GRAND PRAIRIE,025-162-18,"GAIGE, ROBERT ANTHONY; BUTLER, JENNIFER R",06/11/2019,1465000.0,GFMINVESTMENTSLLC,"GFM INVESTMENTS, LLC",MEMPHIS,TN,19128.0,19369.07,05/15/2020,Paid in Full,Limited  Liability Company(LLC),531120,,6.0,"Bank of America, National Association",,TIER_4_MONITOR
RCP ENTERPRISES LLC,,1688 TOPANGA,135 VIA YELLA,NEWPORT BEACH,930-617-47,",",,,RCPENTERPRISESLLC,RCP ENTERPRISES LLC,Johnston,RI,9397.0,9458.86,02/23/2021,Paid in Full,Limited  Liability Company(LLC),236220,,3.0,"TD Bank, National Association",,TIER_4_MONITOR
RCP ENTERPRISES LLC,,1688 TOPANGA,135 VIA YELLA,NEWPORT BEACH,930-617-47,",",,,RCPENTERPRISESLLC,"RCP ENTERPRISES, LLC",Johnston,RI,7155.0,7205.14,04/28/2020,Paid in Full,Limited  Liability Company(LLC),236220,,2.0,"TD Bank, National Association",,TIER_4_MONITOR
TRIUMVIRATE LLC,,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,TRIUMVIRATELLC,TRIUMVIRATE LLC,Cheyenne,WY,9237.05,9317.02,04/10/2021,Paid in Full,Corporation,451120,,5.0,Pinnacle Bank-Wyoming,,TIER_4_MONITOR
TRIUMVIRATE LLC,,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,TRIUMVIRATELLC,TRIUMVIRATE LLC,CHEYENNE,WY,7700.0,7769.19,04/15/2020,Paid in Full,Corporation,453998,,3.0,Pinnacle Bank-Wyoming,,TIER_4_MONITOR
TRIUMVIRATE LLC,,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,TRIUMVIRATELLC,"TRIUMVIRATE, LLC",ANCHORAGE,AK,619100.0,625841.31,04/09/2020,Paid in Full,Limited  Liability Company(LLC),713920,,12.0,"Community Banks of Colorado, A Division of",,TIER_2_HIGH
TRIUMVIRATE LLC,,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,TRIUMVIRATELLC,TRIUMVIRATE LLC,Anchorage,AK,852740.0,859751.42,02/17/2021,Paid in Full,Limited  Liability Company(LLC),721199,,33.0,"Community Banks of Colorado, A Division of",,TIER_2_HIGH
2450 COLORADO BLVD LLC,,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,"U S BANK NATIONAL ASSOCIATION,",02/21/2012,385000.0,2450COLORADOBLVDLLC,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,03/12/2021,Exemption 4,Limited  Liability Company(LLC),531110,,20.0,"Zions Bank, A Division of",,TIER_4_MONITOR
2450 COLORADO BLVD LLC,,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,"U S BANK NATIONAL ASSOCIATION,",02/21/2012,385000.0,2450COLORADOBLVDLLC,2450 COLORADO BLVD LLC,Chatsworth,CA,188000.0,,06/17/2020,Exemption 4,Limited  Liability Company(LLC),531110,,20.0,"Zions Bank, A Division of",,TIER_4_MONITOR
SUMMIT PROPERTIES LLC,,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,"MADANI, REZA; MADANI REVOCABLE LIVING TRUST,",03/07/2025,3100000.0,SUMMITPROPERTIESLLC,"SUMMIT PROPERTIES, LLC",Hot Springs National Park,AR,48800.0,49181.04,04/16/2020,Paid in Full,Limited Liability Partnership,236220,,4.0,Regions Bank,,TIER_4_MONITOR
SUMMIT PROPERTIES LLC,,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,"MADANI, REZA; MADANI REVOCABLE LIVING TRUST,",03/07/2025,3100000.0,SUMMITPROPERTIESLLC,SUMMIT PROPERTIES LLC,Guntersville,AL,16340.0,16419.43,02/02/2021,Paid in Full,Limited  Liability Company(LLC),531210,,2.0,Citizens Bank & Trust,,TIER_4_MONITOR
SUMMIT PROPERTIES LLC,,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,"MADANI, REZA; MADANI REVOCABLE LIVING TRUST,",03/07/2025,3100000.0,SUMMITPROPERTIESLLC,"SUMMIT PROPERTIES, LLC",GUNTERSVILLE,AL,16340.0,16420.79,04/08/2020,Paid in Full,Limited  Liability Company(LLC),531210,,2.0,Citizens Bank & Trust,,TIER_4_MONITOR
SMD INVESTMENTS LLC,,1654 IOWA ST UNIT C,9851 OASIS AVE,GARDEN GROVE,932-071-07,"INSTANT CASH OFFER PROPERTIES LLC,",09/13/2022,510000.0,SMDINVESTMENTSLLC,SMD INVESTMENTS LLC,Cottondale,AL,21700.0,21909.16,04/15/2020,Paid in Full,Limited  Liability Company(LLC),447110,,5.0,Truist Bank,,TIER_4_MONITOR
LFA GROUP LLC,,12762 MAIN ST,11461 LAMPSON AVE,GARDEN GROVE,988-072-62,",",,,LFAGROUPLLC,"LFA GROUP, LLC",GARDEN GROVE,CA,43290.0,,04/30/2020,Paid in Full,Limited  Liability Company(LLC),722511,,24.0,"Bank of America, National Association",,TIER_4_MONITOR
INFINITY PROPERTIES LLC,,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,"THE RICHARD AND KIM DETKEN FAMILY TRUST, ; DETKEN, RICHARD W",09/18/2025,901500.0,INFINITYPROPERTIESLLC,INFINITY PROPERTIES LLC,MOUNDS,OK,93200.0,94297.97,04/08/2020,Paid in Full,Limited Liability Partnership,236117,,7.0,BancFirst,,TIER_4_MONITOR
INFINITY PROPERTIES LLC,,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,"THE RICHARD AND KIM DETKEN FAMILY TRUST, ; DETKEN, RICHARD W",09/18/2025,901500.0,INFINITYPROPERTIESLLC,INFINITY PROPERTIES LLC,Mounds,OK,69585.0,70238.33,01/19/2021,Paid in Full,Limited Liability Partnership,236210,,7.0,Regent Bank,,TIER_4_MONITOR
PARS LLC,,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARSLLC,PARS LLC,FARMINGTON HILLS,MI,13692.0,13843.33,05/01/2020,Paid in Full,Corporation,,,5.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
PARS LLC,,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARSLLC,P.A.R. & S. LLC,Pitman,NJ,39542.0,39931.93,05/01/2020,Paid in Full,Limited  Liability Company(LLC),811111,,6.0,"TD Bank, National Association",,TIER_4_MONITOR
PARS LLC,,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARSLLC,PARS LLC,Farmington Hills,MI,19169.0,19296.85,03/12/2021,Paid in Full,Corporation,722511,,2.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
PARS LLC,,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARSLLC,PAR & S LLC,Pitman,NJ,38750.0,39026.63,02/19/2021,Paid in Full,Limited  Liability Company(LLC),811111,,6.0,"TD Bank, National Association",,TIER_4_MONITOR
PARS LLC,,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARSLLC,PARS LLC.,Chula Vista,CA,54442.0,54834.74,02/04/2021,Paid in Full,Limited  Liability Company(LLC),722515,,7.0,"JPMorgan Chase Bank, National Association",,TIER_4_MONITOR
CMR INVESTMENTS LLC,,280 CAGNEY LN APT 115,1 PROSPECTOR DR,PARK CITY,930-775-73,"PICASSO PROPERTIES LLC,",03/13/2026,810000.0,CMRINVESTMENTSLLC,"CMR INVESTMENTS, LLC",CUSTER,SD,20029.0,20041.07,04/10/2020,Paid in Full,Limited  Liability Company(LLC),531210,,2.0,Black Hills FCU,,TIER_4_MONITOR
YSA LLC,,12 HARBOR IS,4343 VON KARMAN AVE STE 350,NEWPORT BEACH,988-023-55,",",,,YSALLC,YSA LLC,RICHMOND,VA,2296.0,2323.3,06/23/2020,Paid in Full,Limited  Liability Company(LLC),445120,,1.0,Fed ¿ Kabbage,,TIER_4_MONITOR
ON THE EDGE DESIGNS LLC,,419 29TH ST,76-6174 ALII DR,KAILUA KONA,932-840-98,"ST JAMES DIVERSIFIED 29TH ST LIDO MGR LL,",08/31/2022,4579000.0,ONTHEEDGEDESIGNSLLC,ON THE EDGE DESIGNS LLC,KAILUA KONA,HI,12900.0,13059.75,04/27/2020,Paid in Full,Limited  Liability Company(LLC),531110,,1.0,Bank of Hawaii,,TIER_4_MONITOR
GOLDEN HILLS PROPERTIES LLC,,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,",",,,GOLDENHILLSPROPERTIESLLC,GOLDEN HILLS PROPERTIES LLC,Los Angeles,CA,88324.4,88842.08,01/28/2021,Paid in Full,Limited  Liability Company(LLC),531120,,6.0,East West Bank,,TIER_4_MONITOR
GOLDEN HILLS PROPERTIES LLC,,3335 W COAST HWY,9701 WILSHIRE BLVD STE 1115,BEVERLY HILLS,988-023-26,",",,,GOLDENHILLSPROPERTIESLLC,"GOLDEN HILLS PROPERTIES, LLC",LOS ANGELES,CA,87500.0,88144.1,04/10/2020,Paid in Full,Limited  Liability Company(LLC),531120,,6.0,East West Bank,,TIER_4_MONITOR
PLH HOLDINGS LLC,,14335 SUFFOLK ST,14331 SUFFOLK ST,WESTMINSTER,195-421-12,"HARRISON, PATTI L; HARRISON, PATTI L",,0.0,PLHHOLDINGSLLC,PLH HOLDINGS L. L. C.,CHASKA,MN,20800.0,20975.52,04/15/2020,Paid in Full,Limited  Liability Company(LLC),531210,,1.0,Bridgewater Bank,,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,CAMDEN WYOMING,DE,78693.87,79377.32,04/28/2020,Paid in Full,Limited  Liability Company(LLC),811121,,7.0,"Wilmington Savings Fund Society, FSB",,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,Camden Wyoming,DE,78692.0,79392.68,03/20/2021,Paid in Full,Limited  Liability Company(LLC),811121,,8.0,Loan Source Incorporated,,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,Miller,SD,14407.5,14493.16,04/08/2021,Paid in Full,Limited  Liability Company(LLC),236220,,1.0,First Dakota National Bank,,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,Chugiak,AK,53826.0,54187.3,02/10/2021,Paid in Full,Limited  Liability Company(LLC),236115,,6.0,Celtic Bank Corporation,,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,Chugiak,AK,51455.0,52058.36,05/05/2020,Paid in Full,Limited  Liability Company(LLC),236115,,6.0,Celtic Bank Corporation,,TIER_4_MONITOR
DBS-ENTERPRISES LLC,,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBSENTERPRISESLLC,DBS ENTERPRISES LLC,SANTA CLARA,CA,131908.0,,04/15/2020,Paid in Full,Limited  Liability Company(LLC),722511,,9.0,Heritage Bank of Commerce,,TIER_4_MONITOR
NEWPORT BEACH GOLF COURSE LLC,,119-200 IRVINE BLVD,3100 IRVINE AVE,NEWPORT BEACH,988-012-81,",",,,NEWPORTBEACHGOLFCOURSELLC,NEWPORT BEACH GOLF COURSE LLC,NEWPORT BEACH,CA,115400.0,116402.24,04/15/2020,Paid in Full,Limited  Liability Company(LLC),713910,,19.0,BayFirst National Bank,,TIER_4_MONITOR
ALCHEMY FACTORY LLC,,2900 BRISTOL ST # 39,2900 BRISTOL ST STE D201,COSTA MESA,939-570-79,"OP PROPERTIES I LLC,",03/04/2016,620000.0,ALCHEMYFACTORYLLC,ALCHEMY FACTORY LLC,Costa Mesa,CA,9600.0,9675.48,05/01/2020,Paid in Full,Limited  Liability Company(LLC),541613,,2.0,"Zions Bank, A Division of",,TIER_4_MONITOR
PHAM FAMILY LLC,,7192 MAIN ST # 10,9800 NEWVILLE AVE,DOWNEY,939-100-16,"PHAMILY LLC,",04/05/2007,0.0,PHAMFAMILYLLC,"PHAM FAMILY, LLC",TUCKER,GA,36424.0,36914.98,05/01/2020,Paid in Full,Limited  Liability Company(LLC),561499,,6.0,"Bank of America, National Association",,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,05/20/2020,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,SDR LLC,GASTON,SC,13200.0,13312.83,06/11/2020,Paid in Full,Limited  Liability Company(LLC),484220,,4.0,Regions Bank,,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,SDR LLC,Salt Lake City,UT,6796.87,6831.32,05/07/2021,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0,SDRLLC,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,05/20/2020,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,GASTON,SC,13200.0,13312.83,06/11/2020,Paid in Full,Limited  Liability Company(LLC),484220,,4.0,Regions Bank,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,Salt Lake City,UT,6796.87,6831.32,05/07/2021,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,05/20/2020,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,GASTON,SC,13200.0,13312.83,06/11/2020,Paid in Full,Limited  Liability Company(LLC),484220,,4.0,Regions Bank,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,SDR LLC,Salt Lake City,UT,6796.87,6831.32,05/07/2021,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,"CHANG, ROBERT TE CHIN; CHANG, SANDRA MEI LING TU",,0.0,SDRLLC,"SDR, LLC",LARAMIE,WY,87900.0,88721.2,04/29/2020,Paid in Full,Limited  Liability Company(LLC),722511,,15.0,ANB Bank,,TIER_4_MONITOR
SDR LLC,,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SDRLLC,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,04/07/2020,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SDRLLC,SD&R LLC,Southlake,TX,69600.0,70251.53,01/28/2021,Paid in Full,Limited  Liability Company(LLC),236118,,4.0,Origin Bank,,TIER_4_MONITOR
SDR LLC,,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SDRLLC,SDR LLC,SALT LAKE CITY,UT,6200.0,6262.17,05/20/2020,Paid in Full,Corporation,541990,,1.0,Mountain America FCU,,TIER_4_MONITOR
SDR LLC,,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,"CHANG, ROBERT T; CHANG, SANDRA T",,0.0,SDRLLC,SDR LLC,GASTON,SC,13200.0,13312.83,06/11/2020,Paid in Full,Limited  Liability Company(LLC),484220,,4.0,Regions Bank,,TIER_4_MONITOR
