llc_name,property_address,mailing_address,mail_city,APN,LastSeller,LastSaleDate,sale_price,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,ppp_lender,orig_lender,lender_city,lender_state,days_property_to_ppp,is_out_of_state_ppp,is_out_of_state_mail
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PARS LLC.,Chula Vista,CA,54442.0,54834.74,02/04/2021,Paid in Full,Limited  Liability Company(LLC),722515,,7.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",COLUMBUS,OH,966,False,True
WFS PROPERTIES LLC,212 15TH ST,595 W LAMBERT RD STE 108,BREA,024-031-15,"MACFARLANE, JERRY; BROWN, TODD",07/16/2024,3850000.0,WFS PROPERTIES LLC,BREA,CA,54417.0,54911.97,05/01/2020,Paid in Full,Limited  Liability Company(LLC),531120,,4.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,-1537,False,True
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBS ENTERPRISES LLC,Chugiak,AK,53826.0,54187.3,02/10/2021,Paid in Full,Limited  Liability Company(LLC),236115,,6.0,Celtic Bank Corporation,Celtic Bank Corporation,SALT LAKE CITY,UT,-505,True,True
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,8820 W RUSSELL RD STE 160,LAS VEGAS,936-770-37,"ANDERSEN, DONNA; VICTOR M ANDERSEN LIVING TRUST,",06/30/2022,1780000.0,DBS ENTERPRISES LLC,Chugiak,AK,51455.0,52058.36,05/05/2020,Paid in Full,Limited  Liability Company(LLC),236115,,6.0,Celtic Bank Corporation,Celtic Bank Corporation,SALT LAKE CITY,UT,-786,True,True
AGHA LLC,7852 RONALD DR,16 GENEVE,NEWPORT BEACH,165-302-12,"KIUMP OZ FUND LLC,",06/30/2021,0.0,AGHA LLC,Blauvelt,NY,49745.0,50070.0,01/30/2021,Paid in Full,Limited  Liability Company(LLC),424120,,3.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",COLUMBUS,OH,-151,True,False
SUMMIT PROPERTIES LLC,2501 FLORIDA ST,3334 E WOODBINE RD,ORANGE,025-111-58,"MADANI, REZA; MADANI REVOCABLE LIVING TRUST,",03/07/2025,3100000.0,"SUMMIT PROPERTIES, LLC",Hot Springs National Park,AR,48800.0,49181.04,04/16/2020,Paid in Full,Limited Liability Partnership,236220,,4.0,Regions Bank,Regions Bank,BIRMINGHAM,AL,-1786,True,True
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-581-12,"JAY RAMDEV JI CORPORATION,",04/21/2016,1700000.0,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,48329.13,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,18.0,PCB Bank,PCB Bank,LOS ANGELES,CA,1449,False,True
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-516-13,"SANATHRA, RAJNI",,0.0,DEVPRI HOSPITALITY LLC,SUNSET BEACH,CA,47900.0,48329.13,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,18.0,PCB Bank,PCB Bank,LOS ANGELES,CA,,False,True
J3 HOLDINGS LLC,12555 EUCLID ST APT 51,340 E 1ST ST UNIT 1590,TUSTIN,930-536-37,"NGUYEN, TWEETY",07/31/2012,115000.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,First Western Bank & Trust,FARGO,ND,2814,True,True
J3 HOLDINGS LLC,10371 GARDEN GROVE BLVD APT 32,340 E 1ST ST UNIT 1590,TUSTIN,930-538-25,"KRULL VENTURE PARTNERS LLC,",06/07/2013,0.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,First Western Bank & Trust,FARGO,ND,2503,True,True
J3 HOLDINGS LLC,12422 WOODBRIDGE DR,340 E 1ST ST UNIT 1590,TUSTIN,935-722-32,"KRULL VENTURE PARTNERS LLC,",01/11/2013,0.0,J3 HOLDINGS LLC,FARGO,ND,47600.0,47943.78,04/14/2020,Paid in Full,Limited  Liability Company(LLC),531311,,9.0,First Western Bank & Trust,First Western Bank & Trust,FARGO,ND,2650,True,True
PALACE PROPERTIES LLC,755 W 17TH ST STE I,1575 PLACENTIA AVE,NEWPORT BEACH,939-831-09,"CM17 PROPERTIES LLC,",12/12/2014,375000.0,"PALACE PROPERTIES, LLC",HUNTINGTON,WV,46500.0,47101.92,04/07/2020,Paid in Full,Limited  Liability Company(LLC),531110,,8.0,United Bank,United Bank,FAIRFAX,VA,1943,True,False
RANCHO LA SIESTA LLC,18194 BUSHARD ST,18182 BUSHARD ST,FOUNTAIN VALLEY,157-231-04,"RANCHO LA SIESTA LLC, ; RANCHO LA SIESTA,",12/29/2010,0.0,RANCHO LA SIESTA LLC,Fountain Valley,CA,45000.0,45366.25,08/05/2020,Paid in Full,Limited  Liability Company(LLC),531190,,7.0,Fountainhead SBF LLC,Fountainhead SBF LLC,LAKE MARY,FL,3507,False,False
LFA GROUP LLC,12762 MAIN ST,11461 LAMPSON AVE,GARDEN GROVE,988-072-62,",",,,"LFA GROUP, LLC",GARDEN GROVE,CA,43290.0,,04/30/2020,Paid in Full,Limited  Liability Company(LLC),722511,,24.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,,False,True
CROWN WEALTH PROPERTIES LLC,2900 BRISTOL ST # 1,2900 BRISTOL ST STE B106,COSTA MESA,939-570-01,"STARPOINT COMMERCIAL PROPERTIES LLC,",09/14/2011,0.0,CROWN WEALTH PROPERTIES LLC,COSTA MESA,CA,43190.0,43676.33,05/01/2020,Paid in Full,Subchapter S Corporation,531210,,3.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,3152,False,False
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,"BENSON, DEBRA S; KIEFLER, DAWN L",04/10/2009,0.0,DDA LLC,LOUISVILLE,KY,42200.0,42472.74,04/13/2020,Paid in Full,Limited  Liability Company(LLC),541618,,10.0,Republic Bank & Trust Company,Republic Bank & Trust Company,LOUISVILLE,KY,4021,True,True
MERRIMAC PARTNERS LLC,20962 CABRILLO LN # 61,19871 YORBA LINDA BLVD STE 105,YORBA LINDA,934-472-42,"HART, RORY JD",01/30/2019,1150000.0,MERRIMAC PARTNERS LLC,YORBA LINDA,CA,41665.0,42106.21,05/01/2020,Paid in Full,Limited  Liability Company(LLC),531120,,2.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,457,False,True
AIMS LLC,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,"PACIFICLEWIS PROPERTIES,",01/18/2017,4600000.0,AIMS LLC,SPRINGFIELD,MO,41250.0,41586.88,04/29/2020,Paid in Full,Subchapter S Corporation,511120,,5.0,Great Southern Bank,Great Southern Bank,Springfield,MO,1197,True,True
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,"OBEID, ABDUL RAHMAN; OBEID, HELEN JOZANE",06/08/2007,0.0,BARAKAH LLC,TACOMA,WA,40770.0,41198.92,05/01/2020,Paid in Full,Limited  Liability Company(LLC),,,8.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,4711,True,False
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,"OBEID, ABDUL RAHMAN; OBEID, HELEN JOZANE",06/08/2007,0.0,BARAKAH LLC,Renton,WA,40770.0,40997.87,01/25/2021,Paid in Full,Limited  Liability Company(LLC),447110,,9.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,4980,True,False
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,P.A.R. & S. LLC,Pitman,NJ,39542.0,39931.93,05/01/2020,Paid in Full,Limited  Liability Company(LLC),811111,,6.0,"TD Bank, National Association","TD Bank, National Association",WILMINGTON,DE,687,True,True
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,",",,,R-A-V LLC,Lincoln,NE,39200.0,39442.82,01/21/2021,Paid in Full,Limited  Liability Company(LLC),485999,,4.0,Midwest Bank,Midwest Bank,PIERCE,NE,,True,True
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,",",,,R-A-V LLC,LINCOLN,NE,39200.0,39433.02,04/14/2020,Paid in Full,Limited  Liability Company(LLC),532111,,5.0,Midwest Bank,Midwest Bank,PIERCE,NE,,True,True
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,"KALANI, MOHAMMAD YASHAR; KALANI, KRISTIN NICOLE",06/14/2018,0.0,PAR & S LLC,Pitman,NJ,38750.0,39026.63,02/19/2021,Paid in Full,Limited  Liability Company(LLC),811111,,6.0,"TD Bank, National Association","TD Bank, National Association",WILMINGTON,DE,981,True,True
E & N ENTERPRISES LLC,345 AVOCADO ST UNIT A3,PO BOX 876,TUSTIN,938-650-26,"RBJJ PROPERTIES LLC,",09/30/2003,139500.0,"E & N ENTERPRISES, LLC",ORANGE CITY,IA,37400.0,37608.82,04/09/2020,Paid in Full,Limited  Liability Company(LLC),541320,,23.0,Iowa State Bank,Iowa State Bank,HULL,IA,6036,True,True
PHAM FAMILY LLC,7192 MAIN ST # 10,9800 NEWVILLE AVE,DOWNEY,939-100-16,"PHAMILY LLC,",04/05/2007,0.0,"PHAM FAMILY, LLC",TUCKER,GA,36424.0,36914.98,05/01/2020,Paid in Full,Limited  Liability Company(LLC),561499,,6.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,4775,True,True
LEGACY GLOBAL LLC,7303 CLAY AVE,19051 GOLDENWEST UNIT 106-312,TUSTIN,935-760-45,"LEE, ANTHONY MICHAEL",01/12/2004,0.0,LEGACY GLOBAL LLC.,Davidson,NC,36329.0,36481.28,03/24/2021,Paid in Full,Limited  Liability Company(LLC),423220,,4.0,Regions Bank,Regions Bank,BIRMINGHAM,AL,6281,True,True
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,"CHOPRA, VIK; CHOPRA, MEERA",12/12/2019,0.0,JJ HOLDINGS LLC,LAFAYETTE,LA,36200.0,36474.72,04/04/2020,Paid in Full,Limited  Liability Company(LLC),722513,,17.0,Gulf Coast Bank,Gulf Coast Bank,ABBEVILLE,LA,114,True,True
TR ENTERPRISE LLC,17090 SAN BRUNO ST # 13,18627 BROOKHURST ST # 445,FOUNTAIN VALLEY,930-295-35,"NGUYEN, TIMOTHY; CHUNG, ROMMONY",02/04/2009,0.0,"T & R ENTERPRISE, LLC",BOONE,NC,35600.0,35994.04,04/28/2020,Paid in Full,Limited  Liability Company(LLC),561499,,4.0,Skyline National Bank,Skyline National Bank,INDEPENDENCE,VA,4101,True,False
TR ENTERPRISE LLC,10200 LA HACIENDA AVE # 1,18627 BROOKHURST ST # 445,FOUNTAIN VALLEY,930-294-01,"NGUYEN, TIMOTHY; CHUNG, ROMMONY",10/08/2002,0.0,"T & R ENTERPRISE, LLC",BOONE,NC,35600.0,35994.04,04/28/2020,Paid in Full,Limited  Liability Company(LLC),561499,,4.0,Skyline National Bank,Skyline National Bank,INDEPENDENCE,VA,6412,True,False
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,"OBEID, ABDUL RAHMAN; OBEID, HELEN JOZANE",06/08/2007,0.0,BARAKAH LLC,Chanhassen,MN,35553.0,35858.16,02/04/2021,Paid in Full,Corporation,722513,,8.0,First Western Bank & Trust,First Western Bank & Trust,MINOT,ND,4990,True,False
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,"BENSON, DEBRA S; KIEFLER, DAWN L",04/10/2009,0.0,DDA LLC,Louisville,KY,35500.0,35765.26,01/25/2021,Paid in Full,Limited  Liability Company(LLC),722410,,10.0,Republic Bank & Trust Company,Republic Bank & Trust Company,LOUISVILLE,KY,4308,True,True
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,"DEL S FOOD BARSTOW INC,",01/29/2025,0.0,"SAMPSON VENTURES, LLC",PANAMA CITY,FL,35480.0,35757.93,04/29/2020,Paid in Full,Limited  Liability Company(LLC),531210,,8.0,Trustmark National Bank,Trustmark National Bank,JACKSON,MS,-1736,True,True
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,LAS VEGAS,NV,34923.0,35225.35,04/15/2020,Paid in Full,Corporation,442210,,29.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,316,True,True
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,Las Vegas,NV,34922.0,35281.74,03/03/2021,Paid in Full,Corporation,444190,,4.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,638,True,True
JJ HOLDINGS LLC,20331 BLUFFSIDE CIR # A204,6000 HACKBERRY CT,FRISCO,936-178-59,"CHOPRA, VIK; CHOPRA, MEERA",12/12/2019,0.0,"J&J HOLDINGS, LLC",Shakopee,MN,34837.0,35298.95,03/20/2021,Paid in Full,Limited  Liability Company(LLC),238910,,5.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,464,True,True
KC GROUP LLC,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,"GARCIA, ANGEL; GARCIA FAMILY TRUST,",11/16/2022,820000.0,K.C. GROUP LLC,Grayling,MI,33750.0,34084.73,04/27/2020,Paid in Full,Limited  Liability Company(LLC),713910,,11.0,The Huntington National Bank,The Huntington National Bank,SIOUX FALLS,SD,-933,True,False
HAN LLC,6262 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-09,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HAN LLC,FREEPORT,ME,32900.0,33001.85,07/10/2020,Paid in Full,Limited  Liability Company(LLC),722513,,7.0,Bath Savings Institution,Bath Savings Institution,BATH,ME,-2076,True,False
HAN LLC,6272 CHINOOK AVE,6431 NAVAJO RD,WESTMINSTER,195-283-10,"THE PAUL SULAHIAN REVOCABLE LIVING TRUST, ; SINANIAN, LARA",03/17/2026,900000.0,HAN LLC,FREEPORT,ME,32900.0,33001.85,07/10/2020,Paid in Full,Limited  Liability Company(LLC),722513,,7.0,Bath Savings Institution,Bath Savings Institution,BATH,ME,-2076,True,False
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,"DO, ELIZABETH",05/18/2021,0.0,"A & D, LLC",PHOENIX,AZ,32715.0,33060.54,05/08/2020,Paid in Full,Limited  Liability Company(LLC),311520,,6.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,-375,True,False
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,HB LLC,Wichita,KS,30900.0,31046.78,01/30/2021,Paid in Full,Limited  Liability Company(LLC),721110,,8.0,Community National Bank & Trust,Community National Bank & Trust,CHANUTE,KS,606,True,True
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,"BENSON, DEBRA S; KIEFLER, DAWN L",04/10/2009,0.0,DDA LLC,Fairlawn,NJ,30000.0,30362.5,05/02/2020,Paid in Full,Limited  Liability Company(LLC),488210,,6.0,"TD Bank, National Association","TD Bank, National Association",WILMINGTON,DE,4040,True,True
SAMPSON VENTURES LLC,17682 SAMPSON LN,12221 POPLAR ST STE 3,HESPERIA,165-331-17,"DEL S FOOD BARSTOW INC,",01/29/2025,0.0,SAMPSON VENTURES LLC,Panama City,FL,29673.0,29883.56,02/26/2021,Paid in Full,Limited  Liability Company(LLC),811192,,7.0,Loan Source Incorporated,Trustmark National Bank,JACKSON,MS,-1433,True,True
LA COLONIA LLC,9436 LA COLONIA AVE,16101 WALKER CIR,WESTMINSTER,167-163-19,"TRUONG, THI NGOC PHUONG; PHAM, TUNG THANH",03/02/2020,0.0,LA COLONIA LLC,SUITLAND,MD,29602.0,29769.74,02/01/2021,Paid in Full,Limited  Liability Company(LLC),445110,,9.0,Atlantic Union Bank,Atlantic Union Bank,RICHMOND,VA,336,True,False
LA COLONIA LLC,9436 LA COLONIA AVE,16101 WALKER CIR,WESTMINSTER,167-163-19,"TRUONG, THI NGOC PHUONG; PHAM, TUNG THANH",03/02/2020,0.0,LA COLONIA LLC,Suitland,MD,29600.0,29901.76,06/12/2020,Paid in Full,Limited  Liability Company(LLC),445110,,9.0,Atlantic Union Bank,Atlantic Union Bank,RICHMOND,VA,102,True,False
PARKSVILLE INVESTMENT LLC,7450 EDINGER AVE,4848 WILSHIRE BLVD APT 302,LOS ANGELES,142-511-17,",",12/27/2007,,PARKSVILLE INVESTMENT LLC,LOS ANGELES,CA,29165.0,29650.02,05/06/2020,Paid in Full,Limited  Liability Company(LLC),531210,,1.0,Celtic Bank Corporation,Celtic Bank Corporation,SALT LAKE CITY,UT,4514,False,True
DLC ENTERPRISES LLC,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,"ELKHOURY, GEORGE F; ELKHOURY, REBECCA L",12/02/2016,1125000.0,"DLC ENTERPRISES, LLC",ASHBURN,VA,29114.0,29585.49,06/18/2020,Paid in Full,Limited  Liability Company(LLC),624120,,19.0,Fountainhead SBF LLC,Fountainhead SBF LLC,LAKE MARY,FL,1294,True,False
JBH LLC,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,"B L FUND I PARTNERS A GENERAL PARTNERSHI,",03/16/2000,0.0,JBH LLC,DALTON,PA,28067.0,28378.86,04/29/2020,Paid in Full,Sole Proprietorship,722511,,8.0,The Honesdale National Bank,The Honesdale National Bank,HONESDALE,PA,7349,True,True
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,"OBEID, ABDUL RAHMAN; OBEID, HELEN JOZANE",06/08/2007,0.0,BARAKAH LLC,CHANHASSEN,MN,27500.0,27807.08,04/28/2020,Paid in Full,Corporation,722511,,9.0,First Western Bank & Trust,First Western Bank & Trust,MINOT,ND,4708,True,False
JEK INVESTMENTS LLC,1325 DELAWARE ST,620 TERMINAL WAY,COSTA MESA,025-091-01,"KOLL, EDWIN LEE; KOLL, JOANN D",,0.0,JEK INVESTMENTS LLC,Phoenix,AZ,26907.0,27221.78,01/30/2021,Paid in Full,Subchapter S Corporation,525920,,2.0,Loan Source Incorporated,Northeast Bank,LEWISTON,ME,,True,False
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVE LLC,NIXA,MO,26200.0,26370.84,04/06/2020,Paid in Full,Limited  Liability Company(LLC),484121,,5.0,The Bank of Missouri,The Bank of Missouri,PERRYVILLE,MO,,True,False
SUBURBAN PROPERTIES LLC,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,"VILAGUT, GEORGE",06/15/2015,0.0,SUBURBAN PROPERTIES LLC,Batavia,IL,26047.0,26161.32,02/03/2021,Paid in Full,Limited  Liability Company(LLC),488190,,2.0,"Resource Bank, National Association","Resource Bank, National Association",DEKALB,IL,2060,True,False
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,"ORO REAL ESTATE GROUP USA LLC,",08/29/2014,210000.0,GALAXY MANAGEMENT LLC,Charlotte,NC,25777.5,25959.37,02/05/2021,Paid in Full,Limited  Liability Company(LLC),721110,,5.0,First Horizon Bank,First Horizon Bank,MEMPHIS,TN,2352,True,True
BONGOS SPORTFISHING LLC,829 HARBOR ISLAND DR,3181 ROWENA DR,ROSSMOOR,988-015-77,",",,,BONGOS SPORTFISHING LLC,NEWPORT BEACH,CA,25250.0,25670.66,05/01/2020,Paid in Full,Limited  Liability Company(LLC),488390,,4.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,,False,True
SDM HOLDINGS LLC,16541 LOIRE CIR,1 COTTONWOOD,NEWPORT COAST,142-171-04,"BN NEW WORLD CORPORATION, ; BN NEW WORLD CORPORATION INC,",04/09/2025,1300000.0,SDM HOLDINGS LLC,CASTLE PINES,CO,24737.0,21519.62,04/14/2020,Paid in Full,Limited  Liability Company(LLC),541219,,1.0,Cross River Bank,Cross River Bank,TEANECK,NJ,-1821,True,True
SUBURBAN PROPERTIES LLC,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,"VILAGUT, GEORGE",06/15/2015,0.0,"SUBURBAN PROPERTIES, LLC",SUGAR GROVE,IL,24500.0,24638.15,04/10/2020,Paid in Full,Limited  Liability Company(LLC),488190,,2.0,"Resource Bank, National Association","Resource Bank, National Association",DEKALB,IL,1761,True,False
DRT INVESTMENTS LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,988-999-13,",",,,DRT INVESTMENTS LLC,Phoenix,AZ,24094.0,24246.82,01/31/2021,Paid in Full,Limited  Liability Company(LLC),722513,,3.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",COLUMBUS,OH,,True,False
DRT INVESTMENTS LLC,19900 BEACH BLVD,20101 SW BIRCH ST STE 151,NEWPORT BEACH,153-091-27,"TAYLOR, DANIEL R; TAYLOR FAMILY TRUST,",10/28/2003,0.0,DRT INVESTMENTS LLC,Phoenix,AZ,24094.0,24246.82,01/31/2021,Paid in Full,Limited  Liability Company(LLC),722513,,3.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",COLUMBUS,OH,6305,True,False
ARES INVESTMENT GROUP LLC,7755 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-17,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,07/20/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,MBE Capital Partners,MBE Capital Partners,Fort Lee,NJ,-1155,True,False
ARES INVESTMENT GROUP LLC,7777 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-20,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,07/20/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,MBE Capital Partners,MBE Capital Partners,Fort Lee,NJ,-1155,True,False
ARES INVESTMENT GROUP LLC,7767 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-15,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,07/20/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,MBE Capital Partners,MBE Capital Partners,Fort Lee,NJ,-1155,True,False
ARES INVESTMENT GROUP LLC,7711 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-16,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,"ARES INVESTMENT GROUP, LLC",Reno,NV,24000.0,24352.0,07/20/2020,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,MBE Capital Partners,MBE Capital Partners,Fort Lee,NJ,-1155,True,False
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,",",,,"RAV, L.L.C.",BELLINGHAM,WA,23955.0,24107.61,04/27/2020,Paid in Full,Limited  Liability Company(LLC),236115,,5.0,Peoples Bank,Peoples Bank,BELLINGHAM,WA,,True,True
DRT LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,"DRI LLC, ; DRT LLC,",07/29/1997,0.0,DRT LLC,BYRON CENTER,MI,23400.0,23700.03,04/28/2020,Paid in Full,Limited  Liability Company(LLC),999990,,3.0,Macatawa Bank,Macatawa Bank,HOLLAND,MI,8309,True,False
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVE LLC,Hubbard,OH,22557.0,22694.85,03/12/2021,Paid in Full,Subchapter S Corporation,511120,,3.0,"PNC Bank, National Association","PNC Bank, National Association",WILMINGTON,DE,,True,False
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,"COVINGTON, JANET; CROSLEY, COURTNEY",06/04/2019,1127000.0,"HB, LLC",WICHITA,KS,22500.0,22683.75,04/09/2020,Paid in Full,Limited  Liability Company(LLC),721110,,7.0,Community National Bank & Trust,Community National Bank & Trust,CHANUTE,KS,310,True,True
SMD INVESTMENTS LLC,1654 IOWA ST UNIT C,9851 OASIS AVE,GARDEN GROVE,932-071-07,"INSTANT CASH OFFER PROPERTIES LLC,",09/13/2022,510000.0,SMD INVESTMENTS LLC,Cottondale,AL,21700.0,21909.16,04/15/2020,Paid in Full,Limited  Liability Company(LLC),447110,,5.0,Truist Bank,Truist Bank,CHARLOTTE,NC,-881,True,True
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,",",,,DRIVE LLC,HUBBARD,OH,21600.0,21787.2,05/01/2020,Paid in Full,Subchapter S Corporation,561990,,3.0,"PNC Bank, National Association","PNC Bank, National Association",WILMINGTON,DE,,True,False
INSIGHT PROPERTIES LLC,3151 AIRWAY AVE STE M3,3151 AIRWAY AVE STE J2,COSTA MESA,938-940-68,",",09/28/2005,,INSIGHT PROPERTIES LLC,Happy Valley,OR,20833.0,20910.55,04/07/2021,Paid in Full,Limited  Liability Company(LLC),236117,,1.0,Itria Ventures LLC,Itria Ventures LLC,New York,NY,5670,True,False
ARES INVESTMENT GROUP LLC,7755 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-17,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,04/06/2021,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,"Readycap Lending, LLC","Readycap Lending, LLC",BERKELEY HEIGHTS,NJ,-895,True,False
ARES INVESTMENT GROUP LLC,7777 CENTER AVE,1683 SUNFLOWER AVE STE B,COSTA MESA,142-342-20,"ONE PACIFIC PLAZA OWNER LLC,",09/18/2023,42000000.0,ARES INVESTMENT GROUP LLC,Reno,NV,20832.0,20887.93,04/06/2021,Paid in Full,Limited  Liability Company(LLC),531390,,1.0,"Readycap Lending, LLC","Readycap Lending, LLC",BERKELEY HEIGHTS,NJ,-895,True,False
