Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue
ONE ESHELMAN LLC,,15602 CONTAINER LN,2736 VIA MIGUEL,PALOS VERDES ESTATES,145-473-20,"15602 CONTAINER LANE LLC,",05/16/2012,1375000.0
PHT CAPITAL LLC,,3080 AIRWAY AVE STE 127,960 GRANVIA ALTAMIRA,PALOS VERDES ESTATES,938-980-78,"SNM2 CORPORATION,",03/02/2023,1870000.0
ADKOK LLC,,17331 BEACH BLVD,2022 VIA CERRITOS,PALOS VERDES ESTATES,165-225-06,"HB LAND LLC,",08/28/2019,10917500.0
HOLLENGATE LLC,,5631 MANGRUM DR,27615 EASTVALE RD,PALOS VERDES PENINSULA,146-092-18,"KREPISTMAN, MIKE S; KREPISTMAN, LORRI A",10/24/2024,1425000.0
2135 CRESTA LLC,,2135 CRESTA DR,6826 E JOSHUA TREE LN,PARADISE VALLEY,930-592-86,"SHEA HOMES LIMITED PARTNERSHIP,",02/10/2023,1759500.0
DETROIT HOMES LLC,,205 DETROIT AVE,15740 PARAMOUNT BLVD STE E,PARAMOUNT,024-201-15,"EDDLEMAN, TAYLOR A; ESTATE OF LOIS J SCHMITZ,",12/22/2025,2050000.0
BMC CUB LLC,,5382 RESEARCH DR,15740 PARAMOUNT BLVD STE E,PARAMOUNT,145-462-01,"HUNGERFORD, FLORENCE L; THE HUNGERFORD FAMILY TRUST,",09/01/2015,1498000.0
ROTH FAMILY RETREATS LLC,,1102 PARK ST,PO BOX 680143,PARK CITY,023-085-16,"THE BARBARA GERHART PAYNE TRUST, ; PAYNE, BARBARA GERHART",10/31/2025,1800000.0
CMR INVESTMENTS LLC,,280 CAGNEY LN APT 115,1 PROSPECTOR DR,PARK CITY,930-775-73,"PICASSO PROPERTIES LLC,",03/13/2026,810000.0
KCAT INVESTMENTS LLC,,6908 HOMER ST,2770 YORKSHIRE RD,PASADENA,897-211-01,"THE XIAODONG LI PELTIER LIVING TRUST, ; PELTIER, XIAODONG LI",04/16/2019,335000.0
IRED ASSOCIATES INVESTMENTS LLC,,7841 SEABREEZE DR # 23,1284 FAY PL,PASADENA,937-150-23,"SMITH, DENNIS; SMITH FAMILY TRUST,",10/24/2024,1225000.0
TRI-LIN LB LLC,,115 6TH ST,200 E DEL MAR BLVD STE 304,PASADENA,024-151-09,"PONTICELLO, BREANN",11/12/2021,1765000.0
PACIFIC 360 LLC,,609 E BALBOA BLVD # R,1515 E COLORADO BLVD,PASADENA,932-160-37,"609 E BALBOA LLC, ; STOKES, ADAM",05/01/2015,2300000.0
HY INVESTMENT LLC,,7441 VINCENT CIR,830 HUNTINGTON CIR,PASADENA,159-201-29,"CHANG, WEI CHEN",10/24/2014,2400000.0
AUTUMN CARE DEVELOPMENT PARTNERS LLC,,19101 GARFIELD AVE,PO BOX 5159,PASADENA,153-201-27,"HUGRON, WILLIAM",06/07/2012,350000.0
LAKEVIEW HOMES & LAND LLC,,9525 KENSINGTON DR,10943 W RUTH AVE,PEORIA,153-402-48,"PONDOFF, SHARON CHERIE; SHARON CHERIE PONDOFF TRUST,",07/11/2024,695000.0
AGILEGUPPY LLC,,914 HUNTINGTON ST,33 GUNSMOKE AVE,PHILLIPS RANCH,025-108-15,"TY COASTAL PROPERTIES LLC,",01/27/2021,1150000.0
ONNI HUNTINGTON BEACH LLC,,7822 WARNER AVE,5055 N 32ND ST STE 200,PHOENIX,165-364-12,"NF HUNTINGTON PLAZA LP,",07/11/2019,97250000.0
ONNI HUNTINGTON BEACH LLC,,17011 BEACH BLVD,5055 N 32ND ST STE 200,PHOENIX,165-364-16,"NF HUNTINGTON PLAZA LP,",07/11/2019,97250000.0
1625 SOUTH FIRST STREET LLC,,48 BAYCREST CT # 32,5701 SCRUGGS WAY APT 10208,PLANO,931-807-70,"STOPANI, ESTEPHANIA",03/23/2026,1150000.0
BEL HUNTINGTON LLC,,8891 ATLANTA AVE,11555 DUBLIN CANYON RD,PLEASANTON,151-571-19,"SAFEWAY INC,",07/03/2019,22311500.0
"MILLENIA, PLAZA LLC",,17941 BEACH BLVD,7011 KOLL CENTER PKWY STE 150,PLEASANTON,165-181-35,"BEACH & TALBERT SHOPS LLC,",12/30/2021,7600000.0
SID & THOM LLC,,19512 BEACH BLVD,716 CORPORATE CENTER DR,POMONA,153-091-06,"KIRKWOOD, JILL ELANE; JILL ELANE KIRKWOOD  TRUST,",10/21/2020,2700000.0
CRUSHER PROPERTY INVESTMENTS LLC,,621 LIDO PARK DR # 13,4140 NW THUNDER CREST RD,PORTLAND,932-700-13,"JONES, JERROD W; JONES, JORDAN A",08/10/2021,3050000.0
TD ESTATES LLC,,702 JAY CIR,15911 GREY STONE RD,POWAY,025-191-13,"R D V CORP,",09/19/2025,2300000.0
AURORA PEACHTREE HOLDINGS LLC,,19346 PEACHTREE LN,3978 PURPLE SAGE,PRESCOTT,023-371-42,"ANDERSON, GARRET L; ANDERSON, VERA L",01/31/2022,1375000.0
NEWPORT BLU LLC,,44 TALMONT,21738 E ORION WAY,QUEEN CREEK,934-331-23,"KUO, FREDDY I CHENGT; FANG, STEPHANIE LING",07/08/2021,1410000.0
515 12TH ST LLC,,515 12TH ST,28392 AIROSO ST,RANCHO MISSION VIEJO,024-017-09,"SPELLMIRE, JAMES M; ROBERT J SPELLMIRE & CATHERINE L SPELLMI,",09/20/2024,2350000.0
317 12TH ST LLC,,317 12TH ST,28392 AIROSO ST,RANCHO MISSION VIEJO,024-026-12,"POLAND, MATTHEW; POLAND, TANYA",12/20/2024,2470000.0
525 16TH STREET LLC,,525 16TH ST,28392 AIROSO ST,RANCHO MISSION VIEJO,023-147-25,"ERICKSEN, KATHERINE S; THE ERICKSEN FAMILY TRUST,",02/20/2025,825000.0
525 16TH STREET LLC,,527 16TH ST,28392 AIROSO ST,RANCHO MISSION VIEJO,023-147-24,"ERICKSEN, KATHERINE S; THE ERICKSEN FAMILY TRUST,",02/20/2025,1175000.0
1810 PCH HB LLC,,113 18TH ST,28392 AIROSO ST,RANCHO MISSION VIEJO,023-165-12,"SOCAL HOLDING LLC,",03/07/2024,10250000.0
MY MONTECITO SH LLC,,2872 COAST CIR APT 204,6790 CREST RD,RANCHO PALOS VERDES,936-770-24,"MAKLER, STUART; MAKLER, MARY",09/18/2023,1075000.0
100 HYLAND LLC,,3525 HYLAND AVE STE 100,28623 HAZELRIDGE DR,RANCHO PALOS VERDES,932-632-59,"OC TECH GROUP LLC,",06/20/2025,1325000.0
211 OLIVE LLC,,211 OLIVE AVE,1267 WILLIS ST # 200,REDDING,024-165-07,"PEARSON, ANTHONY D",08/15/2019,850000.0
SPIRIT OF THE LAKE LLC,,3080 AIRWAY AVE STE 116,PMB 976,RENO,938-980-67,"FINISH LINE AUTO STORAGE COSTA MESA LLC, ; STERLING CENTER DRIVE LLC,",04/30/2021,1662500.0
16951 SOUTH PACIFIC LLC,,16951 S PACIFIC AVE # 1,105 ROCKY RD,RIDGEDALE,178-541-08,"STEWART, DIANE P; SAMUEL AND DLANE STEWART FAMILY TRUST,",09/22/2022,6100000.0
DMW PROPERTIES LLC,,17025 BLUEWATER LN # 96,5332 TOWER RD,RIVERSIDE,933-830-96,"WALTON, LILA M; THE WALTON TRUST,",02/29/2016,400000.0
MYERS DEAVER HOLDINGS LLC,,2000 PACIFIC COAST HWY APT 107,12817 GRANITE PASS RD,RIVERSIDE,937-164-35,"LEONG, STEVEN; ESTATE OF KENNETH LEONG,",12/06/2024,1100000.0
WHITTY PROPERTIES LLC,,424 32ND ST STE D,6300 BROOKSHIRE DR,ROCKLIN,932-840-87,"FLAPMASTER LLC,",03/29/2022,2200000.0
WHITTY PROPERTIES LLC,,424 32ND ST STE E,6300 BROOKSHIRE DR,ROCKLIN,932-840-88,"FLAPMASTER LLC,",03/29/2022,2200000.0
TEAM OSH LLC,,5592 ENGINEER DR,2 SANTA ROSA,ROLLING HILLS ESTATES,145-543-03,"BCM LLC,",02/03/2020,2646500.0
WALNUT PARK B LLC,,16662 SOMERSET LN,3203 MUSCATEL AVE,ROSEMEAD,178-402-04,"THE JANE P KING TRUST, ; KING, EARL C",04/02/2026,4350000.0
DT PROPERTY LLC,,16921 LAKEFRONT CIR UNIT 46,2410 DEL MAR AVE,ROSEMEAD,938-310-46,"LEIGH MANUELL, GARY PAUL",12/21/2023,680000.0
R & R LOW PROPERTY MANAGEMENT LLC,,310 LAKE ST UNIT 111,3228 ANGELUS AVE,ROSEMEAD,939-503-74,"MENARD, MARLEANE; MENARD, MARLEANE",03/04/2024,800000.0
HARMONY BRIDGE LLC,,16733 S PACIFIC AVE,3203 MUSCATEL AVE,ROSEMEAD,178-526-05,"HARRY MARINOW FAMILY TRUST, ; MARINOW, HARRY",07/03/2025,3305000.0
L J HOME LLC,,301 17TH ST,3105 DEL MAR AVE,ROSEMEAD,023-156-16,"ZEIDAN, TARICK ADEL; ADEL MUSTAFA ZEIDAN LIVING TRUST,",07/23/2015,1200000.0
DAYAL LLC,,8491 ATLANTA AVE # 201,8120 WAGON WHEEL CT,ROSEMEAD,151-105-29,"MULTANI ENTERPRISES INC,",03/26/2019,1500000.0
LEIBL PROPERTY MANAGEMENT LLC,,101 SURFSIDE AVE # A,2922 GLENROY PL,ROSSMOOR,178-462-18,"MAUL, LYLE R; MAUL, KENT V",10/30/2015,2485000.0
3838 HUMBOLDT DRIVE LLC,,3838 HUMBOLDT DR,18351 COLIMA RD # 18,ROWLAND HEIGHTS,178-053-44,"HARKUSH LLC,",10/18/2024,4150000.0
BTL HOLDING LLC,,12200 MONTECITO RD APT D110,2108 N ST # 6107,SACRAMENTO,936-591-01,"ROSERO, AUGUSTO RICARDO",12/24/2025,580000.0
NEWPORT BAY PARTNERS LLC,,310 FERNANDO ST APT 104,1462 E FEDERAL HEIGHTS DR,SALT LAKE CITY,932-940-05,"FERNANDO TRUST #310-104, ; PDQ INVESTMENTS LLC,",01/30/2015,650000.0
AP INVESCO LLC,,406 E BAY AVE # 8,13614 TREASURE TRAIL DR,SAN ANTONIO,936-520-21,"RIGHT TURN LLC,",08/29/2024,1700000.0
G2 INVESTMENT COMPANY LLC,,1401 OLIVE AVE,11441 CAMINITO GARCIA,SAN DIEGO,024-031-07,"NBJ HOLDINGS LLC,",02/25/2026,4130000.0
SYNERGISTIC COLLABORATION LLC,,17220 NEWHOPE ST STE 127,16343 PINTO RIDGE CT,SAN DIEGO,938-780-15,"A NICE PLACE TO WORK LLC,",09/18/2020,408000.0
CREW FIVE LLC,,2000 PACIFIC COAST HWY APT 306,650 DELANCEY ST APT 416,SAN FRANCISCO,937-164-62,"SMITH, PAUL L; SMITH, NIKI N",07/21/2023,1050000.0
MARINER RIDGE PARTNERS LLC,,21372 BROOKHURST ST UNIT 522,160 BAY ST APT 2006,SAN FRANCISCO,935-820-96,"LUNDELL, DAVID C",06/27/2025,157000.0
SCG EDINGER PLAZA LLC,,7490 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,142-112-09,"HUNTINGTON BEACH NO 1,",09/27/2018,65500000.0
SCG EDINGER PLAZA LLC,,7542 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,142-112-08,"HUNTINGTON BEACH NO 1,",09/27/2018,65500000.0
SCG EDINGER PLAZA LLC,,7600 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,142-112-10,"HUNTINGTON BEACH NO 1,",09/27/2018,65500000.0
DDD PHAM LLC,,19102 BEACH BLVD,1738 44TH AVE,SAN FRANCISCO,153-041-29,"BEACH PHAM LLC,",05/04/2010,3200000.0
DDD PHAM LLC,,19142 BEACH BLVD,1738 44TH AVE,SAN FRANCISCO,153-041-28,"BEACH PHAM LLC,",05/04/2010,3200000.0
FUTURE EDWARD LLC,,40 BELCOURT DR,75 E SANTA CLARA ST STE 1390,SAN JOSE,939-630-83,"PANNIER, LOREN C; PANNIER FAMILY TRUST,",06/28/2023,3850000.0
DLP INVESTMENTS LLC, 16446 BOLSA CHICA LLC,16446 BOLSA CHICA ST,8308 CHIANTI CT,SAN JOSE,146-031-09,"COULTER, SHARRON H; JAMES AND SHARRON COULTER FAMILY TRUST,",08/12/2021,7800000.0
15391 SPRINGDALE PARTNERS LLC,,15391 SPRINGDALE ST,1901 JUNCTION AVE,SAN JOSE,145-533-01,"SPRINGDALE ST LP,",05/07/2018,8850000.0
TRINITY 1102 PCH LLC, OCEANFRONT HB LLC,1102 PACIFIC COAST HWY # 4,3153 PAYNE AVE APT 11,SAN JOSE,024-038-23,"KASTALA INVESTMENT PARTNERS LLC,",12/04/2025,2800000.0
BRIDGEX DEVELOPMENT LLC,,9162 BRABHAM DR,2390 HUNTINGTON DR,SAN MARINO,153-123-12,"COASTAL CAPITAL HOMES LLC,",03/09/2026,1535000.0
MAHET INVESTMENT LLC,,10242 THOMPSON DR,2525 HUNTINGTON DR,SAN MARINO,155-263-42,"HSU, CHIEH CHANG; GAO, MINGYI",08/27/2021,1600000.0
ASH STREET BREEZE LLC,,17282 ASH LN,2233 HUNTINGTON DR STE 3,SAN MARINO,165-224-04,"AIELIO, JOE W; AIELLO, LINDA D",09/29/2009,1350000.0
7 HB INVESTMENT LLC,,405 7TH ST,2360 HUNTINGTON DR STE 200,SAN MARINO,024-108-16,"FIZZARD, LOREN W; FIZZARD, JUDITH M",08/23/2021,2670000.0
DUKE CA INVESTMENTS LLC,,7581 WARNER AVE,610 CHAUCER RD,SAN MARINO,142-212-23,"U S PROPERTY COMPANY 001 LLC,",08/30/2021,5675000.0
CANNERY HAMILTON PROPERTIES LLC,,21621 MAGNOLIA ST,6101 BOLLINGER CANYON RD # BRIX-54,SAN RAMON,114-152-07,"FOREST, LYNNE ELIZABETH ANNE; PILCHARD, LYNNE ELIZABETH",,10500.0
LEISURE TIME HOLDINGS LLC,,9738 TALBERT AVE,11846 S HIDDEN CANYON LN,SANDY,157-122-13,"GASTON, BRADLEY H; GASTON, VALORIE",01/19/2021,814000.0
2450 COLORADO BLVD LLC,,16255 PACIFIC CIR APT 306,9025 S 1300 E,SANDY,936-770-15,"U S BANK NATIONAL ASSOCIATION,",02/21/2012,385000.0
KKMD LLC,,225 16TH ST,130 SAN CLEMENTE ST,SANTA BARBARA,023-163-08,"LANCO EXHANGE INC,",07/16/2014,2388000.0
SOCAL HOLDING LLC,,5616 OCEAN VISTA DR,27200 TOURNEY RD STE 315,SANTA CLARITA,023-181-53,"OCEAN COLONY LLC,",08/03/1999,786500.0
JHROD INVESTMENTS LLC,,6841 BONNIE DR,12631 IMPERIAL HWY,SANTA FE SPRINGS,146-291-02,"GOTTSCHALK HALL, JAMIE",02/27/2026,730000.0
TSS CAPRICORN THREE LLC,,216 13TH ST,12330 GREENSTONE AVE,SANTA FE SPRINGS,024-033-30,"CELEBRITY PROPERTIES LLC, ; MAROTTA, COLLEEN B",06/30/2016,1000000.0
JANICE O PROPERTIES LLC,,4772 TIARA DR APT 203,12645 CLARK ST,SANTA FE SPRINGS,939-330-85,"JENKINS, CHAD D",10/15/2024,650000.0
AIMS LLC,,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,"PACIFICLEWIS PROPERTIES,",01/18/2017,4600000.0
CANYON STATE HOLDINGS LLC,,8042 SAIL CIR,8924 E PINNACLE PEAK RD # 440,SCOTTSDALE,151-342-28,"BAUER, MARK; BAUER, BOBBIE",05/19/2025,1560000.0
CNKA LLC,,11258 MONARCH ST # 504,7525 E GAINEY RANCH RD UNIT 157,SCOTTSDALE,936-751-40,"BURKE MONARCH MULTI LLC,",06/12/2013,360000.0
THE JONES PARTNERS LLC,,16391 FOREST HILLS LN,PO BOX 836,SEAL BEACH,178-601-51,"MULLANEY, SHIRLEY A; MULLANEY FAMILY TRUST,",12/22/2023,1445000.0
SHUCK INVESTMENTS LLC,,16922 PACIFIC COAST HWY UNIT 185,720 SANDPIPER DR,SEAL BEACH,932-171-85,"PURCELL, JEFFREY A",12/22/2025,512000.0
GINGKO CAPITAL LLC,,43 CALVADOS,9700 LAKE SHORE BLVD NE,SEATTLE,936-463-37,"GRANT, MICHAEL R; GRANT, AMY L",11/23/2016,1280000.0
2421 BAYSHORE LLC,,214 PORTLAND AVE,9297 COUNTRY LN,SEBASTOPOL,025-042-26,"BLADES, BRIAN F; BLADES, WENDY JORDAN",05/31/2022,2500000.0
Q BRIDGE CAPITAL LLC,,19466 WOODLANDS DR,30 N GOULD ST # 54087,SHERIDAN,023-351-30,"MCCORMICK, DENNIS B",09/11/2025,4075000.0
STOREFRONT HB LLC, STOREFRONT HB X LLC,123 6TH ST,15250 VENTURA BLVD STE 100,SHERMAN OAKS,024-151-05,"REDDY, JAYASHRI V; JAYASGRI V REDDY TRUST,",04/03/2024,5000000.0
PARADISE MOUNTAIN RENTALS LLC,,17061 PINEHURST LN,2144 SEA RIDGE DR,SIGNAL HILL,110-301-24,"DON G COLLINS SEPARATE PROPERTY TRUST, ; DREYFUS, RICHARD",10/07/2025,1700000.0
AMAZING SIBLING LLC,,127 LESSAY,28842 AUBURN HLS,SILVERADO,936-463-53,"THE DE TRUST, ; EARHART, DONALD",09/04/2025,2085000.0
ASEBEL LLC,,114 33RD ST # 2,84 TERRACE DR,SNOWMASS VILLAGE,933-940-25,"HIPSHMAN, JEFFERY; LAWRENCE ALAN SWARTZ PERSONAL RES TR,",03/31/2020,1760000.0
REAL ASSESTS ETC LLC,,8410 EL ARROYO DR # 48,9573 GARVEY AVE STE 13,SOUTH EL MONTE,932-180-48,"SCHAFFER, JIM T; SCHAFFER, LISA",07/14/2022,540000.0
1201 WEST BALBOA LLC,,1201 W BALBOA BLVD,10811 RUSH ST,SOUTH EL MONTE,939-710-17,"BOTWINICK, PATRICIA; PIZZUTO, ANTHONY",01/08/2016,1000000.0
MISSION FUND LLC,,18245 GOTHARD ST,715 FREMONT AVE STE B,SOUTH PASADENA,111-075-07,"KLETT, JEREMY CARL MERLE",01/19/2012,905000.0
HSRE OAKMONT HUNTINGTON BEACH LLC,,18922 DELAWARE ST,PO BOX 92129,SOUTHLAKE,159-121-22,"OAKMONT OF HUNTINGTON BEACH LLC,",05/03/2021,38631500.0
CREM LLC,,75 SURFSIDE AVE # A,PO BOX 574,STANTON,178-472-11,"SCHLOSBERG FAMILY LIMITED PARTNERSHIP,",01/09/2026,6300000.0
CORONA HOLDING LLC,,602 PACIFIC COAST HWY,8051 MAIN ST,STANTON,024-151-27,"602 PCH LIMITED PARTNERSHIP,",04/22/2004,1993500.0
10622 COURT AVE LLC,,620 PACIFIC COAST HWY,8031 MAIN ST,STANTON,024-151-28,"FOREVER VIEW LLC,",05/25/2021,5650000.0
KAGEHIRO COMPANY LLC,,16291 COUNTESS DR UNIT 104,3221 COUNTRY CLUB BLVD,STOCKTON,937-630-89,"EASTERDAY, SAMUEL CHARLES; EASTERDAY, JOANNE KRESS",09/12/2022,1600000.0
RAB & DSB PROPERTY HOLDINGS LLC,,3080 AIRWAY AVE STE 120,3520 BROOKSIDE RD STE 171,STOCKTON,938-980-71,"GPR INVESTMENTS LLC,",12/09/2024,3125000.0
NEW SUN INVESTMENTS LLC,,505 17TH ST,11244 BRIARCLIFF LN,STUDIO CITY,023-146-27,"GAILING, WILLIAM R; GAILING, ELIANE J",08/21/2018,1050000.0
ELON BROTHERS LLC,,3 LUCANIA DR,1802 FOREST GATE CIR,SUGAR LAND,935-345-45,"GLEW, GAYLE D; THE GAYLE D GLEW REVOCABLE TRUST,",01/22/2024,2900000.0
CEF NO 3 LLC,,1009 CALIFORNIA ST,1298 KIFER RD STE 509,SUNNYVALE,025-107-17,"DELUCA, BRITTANY D; DELUCA, BRETT T",06/10/2022,2700000.0
SOUTHERN ROADHOUSE LLC,,3481 WINDSPUN DR,PO BOX 1287,SUNSET BEACH,178-702-11,"WILCOX, ELAINE BARBARA; THE WILCOX FAMILY TRUST,",06/04/2021,935000.0
RB 105 LLC,,4167 WARNER AVE APT 105,16815 S PACIFIC AVE,SUNSET BEACH,931-401-98,"RSI IRREVOCABLE SEPARATE PROPERTY TRUST, ; IWAMOTO, ROBERT S",11/27/2024,1200000.0
DEVPRI HOSPITALITY LLC,,16220 PACIFIC COAST HWY,16555 PACIFIC COAST HWY,SUNSET BEACH,178-581-12,"JAY RAMDEV JI CORPORATION,",04/21/2016,1700000.0
438 E ALONDRA LLC,,16601 PACIFIC COAST HWY,PO BOX 1636,SUNSET BEACH,178-522-01,"RAIO, EUGENE L; RAIO, ALICE",09/22/2016,1600000.0
OCEAN PROPERTIES LLC,,5561 ENGINEER DR,PO BOX 410,SUNSET BEACH,145-542-21,"LACE, KARRIE JO; THE LACE LIVING TRUST,",04/01/2010,1590500.0
NEVADA GLOBAL PROPERTIES LLC,,72 SURFSIDE AVE # A,PO BOX 487,SURFSIDE,178-472-43,"GOODSPEED FAMILY INVESTMENT PRTNRSHP LP,",01/09/2026,4880000.0
SCHMIDT FAMILY LLC,,22051 ROCKPORT LN,1486 LAUREL HOLLOW RD,SYOSSET,149-335-16,"WELLINGTON PACIFIC INC,",04/15/2021,1800000.0
WSW SPRINGDALE FEE OWNER LLC, WASSERMAN JUNIPER EXCHANGE LLC,16171 SPRINGDALE ST,5567 RESEDA BLVD STE 330,TARZANA,146-263-19,"SPRINGDALE STREET APARTMENTS LLC,",07/11/2025,35000000.0
GFY ESTATES LLC,,3195 RED HILL AVE STE C,45755 KLAMATH CT,TEMECULA,936-790-23,"MASTERROO LLC,",02/22/2021,2175000.0
MIKE MALAMUT HR LLC,,54 BEACON BAY,272 W STAFFORD RD,THOUSAND OAKS,988-883-75,"WYETT, ROGER S",05/13/2009,1700000.0
MIKE MALAMUT RI LLC,,3080 AIRWAY AVE STE 111,272 W STAFFORD RD,THOUSAND OAKS,938-980-62,"FINISH LINE AUTO STORAGE COSTA MESA LLC, ; STERLING CENTER DRIVE LLC,",05/07/2021,694000.0
MIKE MALAMUT RI LLC,,3080 AIRWAY AVE STE 122,272 W STAFFORD RD,THOUSAND OAKS,938-980-73,"FINISH LINE AUTO STORGE COSTA MESA LLC, ; STERLING CENTER DRIVE LLC,",05/07/2021,949000.0
PROSPER HARBOR LLC,,16716 BAYVIEW DR,3584 REDONDO BEACH BLVD,TORRANCE,178-561-26,"LONG, LANAE MITCHELL; MITCHELL, HEATHER LANAE",11/05/2020,1422000.0
SPRINGLAND LLC,,17091 SIMS LN,2996 W 235TH ST,TORRANCE,110-021-25,"WALTHER, JANET A; THE ROBERT G HINES LIVING TRUST,",12/22/2023,1950000.0
BRANCH OF ORANGE LLC,,17942 BARON CIR,4733 TORRANCE BLVD # 444,TORRANCE,165-181-14,"DOLTON, PAUL H; DOLTON, NANCY G",07/07/2023,2000000.0
3C REAL ESTATE HOLDINGS LLC,,361 SUNRISE LN,16398 VETERANS WAY,TUSTIN,937-651-05,"BROOKFIELD VILLAGE WAY LLC,",06/30/2020,504000.0
J3 HOLDINGS LLC,,12555 EUCLID ST APT 51,340 E 1ST ST UNIT 1590,TUSTIN,930-536-37,"NGUYEN, TWEETY",07/31/2012,115000.0
E & N ENTERPRISES LLC,,345 AVOCADO ST UNIT A3,PO BOX 876,TUSTIN,938-650-26,"RBJJ PROPERTIES LLC,",09/30/2003,139500.0
RBJJ PROPERTIES LLC,,345 AVOCADO ST UNIT D7,PO BOX 876,TUSTIN,938-650-46,"E & N ENTERPRISES LLC,",09/30/2003,102500.0
5 KENSINGTON CT LLC,,5 KENSINGTON CT # 22,15541 MOSHER AVE,TUSTIN,935-440-18,"VECCHIO, GARY A; THE GARY A VECCHIO TRUST,",09/30/2020,1400000.0
TN INVESTMENT PARTNER LLC,,2604 DELAWARE ST,138 CRAPE MYRTLE PL,TUSTIN,025-111-45,"PARK, KWANG WON",03/03/2015,1050000.0
SBMC RETAIL PORTFOLIO LLC,,8850 BOLSA AVE,15901 RED HILL AVE STE 205,TUSTIN,107-412-39,"BLUEBIRD SOUTH WESTMINSTER LLC,",09/20/2016,3322500.0
MARCY RANCH LLC,,17841 SAMPSON LN,11940 N RIVIERA,TUSTIN,165-261-50,"MOORE, GUY; TRUST OF GUY MOORE,",07/02/2019,850000.0
GOSPA LLC,,12610 WESTMINSTER AVE # 2C,10635 BRUNS DR,TUSTIN,938-691-08,"TWOMEY HOLDINGS LLC,",06/27/2016,583000.0
SBMC RETAIL PORTFOLIO LLC,,8904 BOLSA AVE,15901 RED HILL AVE STE 205,TUSTIN,107-412-60,"BLUEBIRD SOUTH WESTMINSTER LLC,",09/20/2016,3322500.0
SOMERSET VILLAS LLC,,14092 ASH ST,PO BOX 58283,VERNON,195-243-02,"VON GREMP, THOMAS; VON GREMP, WILLIAM F",05/27/2021,11150000.0
MNM GROUP LLC,,18319 EUCLID ST,3251 E SLAUSON AVE,VERNON,932-882-04,"BSP E405 LLC,",12/30/2022,4700000.0
TOUCHSTONE REAL ESTATE LLC,,355 PLACENTIA AVE # 27,9191 LOMA ST,VILLA PARK,930-354-27,"COURTNEY, BENJAMIN S; COURTNEY, CALISSE M",11/16/2021,595000.0
TOUCHSTONE REAL ESTATE LLC,,355 PLACENTIA AVE # 28,9191 LOMA ST,VILLA PARK,930-354-28,"COSTA MESA MEDICAL CENTER LLC, ; COSTA MESA MEDICAL CENTER PARTNERSHIP,",01/18/2022,585000.0
TAWK CAPITAL LLC,,757 GRAYLING BAY # 79,20450 E PEACH BLOSSOM RD,WALNUT,937-680-79,"FODERA, JOE L",03/17/2023,665000.0
W-WORLD USA LLC,,1654 POMONA AVE,820 CHAMPION CIR,WALNUT,930-618-64,"WESTSIDE GATEWAY DEVELOPMENT LLC,",03/27/2019,938000.0
W-WORLD USA LLC,,1652 POMONA AVE,820 CHAMPION CIR,WALNUT,930-618-65,"WESTSIDE GATEWAY DEVELOPMENT LLC,",04/05/2019,1071500.0
W-WORLD USA LLC,,1648 POMONA AVE,820 CHAMPION CIR,WALNUT,930-618-67,"WESTSIDE GATEWAY DEVELOPMENT LLC,",03/27/2019,918000.0
W-WORLD USA LLC,,1644 POMONA AVE,820 CHAMPION CIR,WALNUT,930-618-69,"WESTSIDE GATEWAY DEVELOPMENT LLC,",03/27/2019,896000.0
W-WORLD USA LLC,,1642 POMONA AVE,820 CHAMPION CIR,WALNUT,930-618-70,"WESTSIDE GATEWAY DEVELOPMENT LLC,",03/27/2019,1005000.0
LOTUS TOO LLC,,4892 KONA DR,20555 LAKE CANYON DR,WALNUT,178-072-06,"BOULTER, HOWARD; BOULTER, JOANNE",08/26/2014,1200000.0
BASSNEY PROPERTIES LLC,,16002 WARREN LN,8605 SANTA MONICA BLVD # 524221,WEST HOLLYWOOD,146-015-01,"FAGGINS, HESHIMU L; FAGGINS, DENISE M",12/30/2022,19500.0
LEONARD JULIAN SUNSET BEACH LLC,,17145 PACIFIC COAST HWY,1048 N CURSON AVE,WEST HOLLYWOOD,178-551-31,"BIG DADDY S CAR WASH LLC, ; 17145 PACIFIC COAST HIGHWAY LLC,",09/19/2014,1550000.0
RIDOHAR LLC,,15272 BOLSA CHICA ST,1788 MILLER RANCH DR,WESTLAKE VILLAGE,145-015-02,"CALIFORNIA WAREHOUSE LLC, ; CALIFORNIA WAREHOUSING LIMITED,",01/07/2016,5450000.0
BENLI LLC,,5231 CHARING CROSS RD,5172 VICTORIA PL,WESTMINSTER,195-422-73,"MACKENZIE, KATHRYN L; THE MACKENZIE FAMILY TRUST,",03/03/2017,452000.0
EVERSTEAD GROUP LLC,,14201 WILTSHIRE ST,13031 LA PATA ST,WESTMINSTER,195-132-09,"CHIN, TONY; NGUYEN, PAMELA",02/23/2026,1185000.0
